family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,27,60000027,no_change,null_arl,exact one-cycle likelihood grid SR,109,True,True,False,False,109,109,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,known-post one-cycle likelihood SR,109,True,True,False,False,109,109,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,validation-trained linear logistic effect,174,True,True,False,False,174,174,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,raw symmetry-resolved AOC,259,True,True,False,False,259,259,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,vAOC / same-feature Hotelling,195,True,True,False,False,195,195,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,matched correlation witness,198,True,True,False,False,198,198,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,exact one-cycle likelihood grid SR,113,True,True,False,False,113,113,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,known-post one-cycle likelihood SR,113,True,True,False,False,113,113,,1,,1000,1000,200.0
spatial,0.55,28,60000028,no_change,null_arl,validation-trained linear logistic effect,210,True,True,False,False,210,210,,1,,1000,1000,200.0
spatial,0.55,29,60000029,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,29,60000029,no_change,null_arl,raw symmetry-resolved AOC,244,True,True,False,False,244,244,,1,,1000,1000,200.0
spatial,0.55,29,60000029,no_change,null_arl,vAOC / same-feature Hotelling,205,True,True,False,False,205,205,,1,,1000,1000,200.0
