regime,time,score,contrast,e_value,anytime_p_value,alarm,witness_rank
change,10,0.021537775626905717,0.021797112158938165,1.0025220067427363,0.9974843377743592,False,1
change,11,-0.0013112493349358295,0.02214776305586775,1.002236263685819,0.9974843377743592,False,1
change,12,0.00015116702996921527,0.020594942057410182,1.0022693271893774,0.9974843377743592,False,1
change,13,0.003114163724756966,0.01919765599019184,1.0029530806607267,0.997055614347601,False,1
change,14,-0.005010171031949423,0.01840559873203068,1.0018475645573153,0.997055614347601,False,1
change,15,-0.0037531891144497592,0.017171394628124538,1.0010194135680328,0.997055614347601,False,1
change,16,-0.012415305817557051,0.0161034394049994,0.9982789597210568,0.997055614347601,False,1
change,17,0.0035341897129773786,0.015302853204424312,0.9990553496143568,0.997055614347601,False,1
change,18,0.001960649923852628,0.016101014598743742,0.999487755285026,0.997055614347601,False,1
change,19,0.009792871160225036,0.016576039860301144,1.0016536295490568,0.997055614347601,False,1
change,20,-0.0030275638626735962,0.01718801196619717,1.000979312461483,0.997055614347601,False,1
change,21,0.004078718679853474,0.016313179623622918,1.0018874950266314,0.997055614347601,False,1
change,22,0.008797212305889757,0.016338041916170245,1.003853309739483,0.9961614812621546,False,1
change,23,0.0033483713988787106,0.016488961038270588,1.0046060970343718,0.9954150218200257,False,1
change,24,0.01466339401732776,0.017254516563023032,1.0079124756934426,0.9921496400885417,False,1
change,25,0.03422080112617269,0.018776656051984496,1.0156998404711535,0.9845428345603847,False,1
change,26,0.014217549239690375,0.019620741579178536,1.0190004084314708,0.9813538755487667,False,1
change,27,0.006330340472355728,0.018157637699118392,1.0204830073654,0.9799281249981012,False,1
change,28,-0.00666922372061457,0.017842117319881848,1.0189142507481668,0.9799281249981012,False,1
change,29,-0.02131315286450894,0.015156773277580693,1.0139163608663404,0.9799281249981012,False,1
change,30,0.00957804991257441,0.014575652822133292,1.0161367281485718,0.9799281249981012,False,1
change,31,0.010202727152791469,0.015036468861759609,1.0185161797791007,0.9799281249981012,False,1
change,32,0.008000119478386095,0.015571086245297058,1.020393802464588,0.9799281249981012,False,1
change,33,0.007093506708275701,0.015286566182243801,1.022067098689308,0.9784093444377511,False,1
change,34,0.014172807329269066,0.015332737229968878,1.02542550521618,0.975204922164658,False,1
change,35,0.002447166636366238,0.01599712831866279,1.0260103373245113,0.9746490494507711,False,1
change,36,-0.0036789514577370563,0.015211087706373992,1.0251295089032018,0.9746490494507711,False,1
change,37,-0.01259317053815033,0.014729095639855559,1.0221194481917473,0.9746490494507711,False,1
change,38,0.03703004322785644,0.013847646244096654,1.0309105680862052,0.9700162467598058,False,1
change,39,0.017636582919693874,0.015407806866200696,1.0351873078471332,0.9660087526379049,False,1
change,40,0.0071993299708584535,0.016469802756495053,1.036951325151656,0.9643654198076734,False,1
change,41,0.0018706200333935274,0.01688198046074977,1.037411721632065,0.9639374407942792,False,1
change,42,0.0005589247978513012,0.014766417422130591,1.0375494758633395,0.9638094599468668,False,1
change,43,0.010352869117552954,0.014911733501991146,1.04010267150155,0.9614435453341779,False,1
change,44,0.015466382804698253,0.015175465979128824,1.0439407453682752,0.9579087744556095,False,1
change,45,-0.006497998060374016,0.016321485608777307,1.0423134290840304,0.9579087744556095,False,1
change,46,0.009063295917893816,0.01670055370453219,1.044575266298983,0.9573268985614443,False,1
change,47,-0.0034307094298301477,0.017470181502511097,1.0437144095196227,0.9573268985614443,False,1
change,48,-3.068713095250031e-05,0.01636537553961009,1.043706722696777,0.9573268985614443,False,1
change,49,-0.013643442039565398,0.015946038923363583,1.0402884462186122,0.9573268985614443,False,1
change,50,0.017418450299746174,0.014181014677052434,1.0446191436889172,0.9572866877287436,False,1
change,51,-0.007499544777961303,0.015484141558992734,1.042735459767969,0.9572866877287436,False,1
change,52,0.014146595557584074,0.015233514004881626,1.0462740481502981,0.9557725356639537,False,1
change,53,0.016158322832925454,0.015400953471640092,1.0503496079452426,0.9520639532167394,False,1
change,54,0.03657922463282763,0.016071267958959853,1.0596637611078068,0.9436955727867561,False,1
change,55,0.04721741609346519,0.02073728210264341,1.0719437287365159,0.9328847897442202,False,1
change,56,0.05369923704486862,0.02498067441430626,1.086296259910069,0.9205591852841203,False,1
change,57,0.10351685631190535,0.027875347383584916,1.1148411438868033,0.8969887821986736,False,1
change,58,0.07690932304207182,0.03436894312546372,1.1373530938278724,0.8792344307381297,False,1
change,59,0.06215908061652861,0.04009317987761711,1.156392548438222,0.8647582530262413,False,1
change,60,0.07126276641367704,0.04318904486754993,1.179049825645833,0.8481405774791941,False,1
change,61,0.07275516048617552,0.04793054188732486,1.2031980796817812,0.8311183477490901,False,1
change,62,0.07609930467510462,0.053385873857792414,1.2296012080559986,0.813271809956174,False,1
change,63,0.1155747153374157,0.05817468371493484,1.2716214658279703,0.7863975458678548,False,1
change,64,0.08217731310541385,0.06427547521882414,1.3036948046309458,0.7670506904283348,False,1
change,65,0.09790654927465167,0.07014188593683438,1.3439362074910792,0.7440829366944769,False,1
change,66,0.04078742487512618,0.0749430824051959,1.361772620513619,0.7343369847036803,False,1
change,67,0.13838951437278685,0.0775554904221818,1.4239259333233585,0.7022837189755085,False,1
change,68,0.07045453003138362,0.08243882963294302,1.4584797453168723,0.6856454491129995,False,1
change,69,0.07625193458160476,0.08148416465597219,1.4976595699150175,0.6677084833482843,False,1
change,70,0.07446570535386882,0.08474987256363606,1.5379125635767663,0.6502320246830366,False,1
change,71,0.07487276999832486,0.08293135599106907,1.5804611939590734,0.6327267027006139,False,1
change,72,0.11552536533243542,0.08378271752712863,1.649526709505137,0.6062345000160702,False,1
change,73,0.09352920377359122,0.0878203049937626,1.709967119681903,0.5848065664479123,False,1
change,74,0.08389371790146405,0.08666572202573081,1.7677784952619173,0.5656817314387785,False,1
change,75,0.08626960821992254,0.08704455671148831,1.8308015768618713,0.5462088369587673,False,1
change,76,0.06998689731186235,0.08793072427364902,1.8851186826325863,0.530470579498735,False,1
change,77,0.0449778900943221,0.087635171640301,1.9218084340589887,0.5203432258271095,False,1
change,78,0.08054348523462024,0.0860782154058375,1.9896816917126015,0.5025929545239262,False,1
change,79,0.07211797328326916,0.08627061049068027,2.0540668144856165,0.4868390808652551,False,1
change,80,0.07221843771499334,0.08376935161594914,2.12199956994129,0.47125362990892,False,1
change,81,0.10075105294453365,0.08322480519600033,2.221896339431262,0.4500660009440268,False,1
change,82,0.08372983512646909,0.08371478326472588,2.311220007716269,0.43267192074375743,False,1
